1,1901,1985123,1803000,3788123
2,1902,2013478,1831787,3845265
3,1903,2033561,1857958,3891519
4,1904,2056822,1884386,3941208
5,1905,2083674,1915400,3999074
6,1906,2111934,1947149,4059083
7,1907,2140868,1981333,4122201
8,1908,2173448,2017244,4190692
9,1909,2214888,2057551,4272439
10,1910,2265503,2101902,4367405
11,1911,2333775,2155770,4489545
12,1912,2428929,2224792,4653721
13,1913,2517336,2302836,4820172
14,1914,2583981,2365009,4948990
15,1915,2564990,2420579,4985569
16,1916,2481961,2461212,4943173
17,1917,2438218,2502597,4940815
18,1918,2485027,2544376,5029403
19,1919,2610868,2582236,5193104
20,1920,2727860,2632602,5360462
21,1921,2771907,2683229,5455136
22,1922,2831497,2738392,5569889
23,1923,2898781,2794588,5693369
24,1924,2961450,2849695,5811145
25,1925,3031126,2908105,5939231
26,1926,3091522,2964838,6056360
27,1927,3158798,3023690,6182488
28,1928,3221368,3080842,6302210
29,1929,3265279,3128604,6393883
30,1930,3295254,3167356,6462610
31,1931,3321206,3205279,6526485
32,1932,3343108,3233716,6576824
33,1933,3367111,3262728,6629839
34,1934,3388382,3288979,6677361
35,1935,3410312,3315946,6726258
36,1936,3433766,3344606,6778372
37,1937,3459884,3375652,6835536
38,1938,3490187,3408354,6898541
39,1939,3522161,3445593,6967754
40,1940,3554581,3484909,7039490
41,1941,3584489,3525409,7109898
42,1942,3613725,3567011,7180736
43,1943,3634385,3600519,7234904
44,1944,3666337,3643374,7309711
45,1945,3703177,3688515,7391692
46,1946,3739523,3725634,7465157
47,1947,3797370,3781988,7579358
48,1948,3865229,3843532,7708761
49,1949,3972558,3935508,7908066
50,1950,4122880,4055816,8178696
51,1951,4253742,4168033,8421775
52,1952,4372589,4263869,8636458
53,1953,4462641,4352721,8815362
54,1954,4546118,4440412,8986530
55,1955,4656320,4543409,9199729
56,1956,4776042,4649521,9425563
57,1957,4882274,4757864,9640138
58,1958,4976578,4865755,9842333
59,1959,5080235,4976244,10056479
60,1960,5192285,5082735,10275020
61,1961,5333185,5215082,10548267
62,1962,5420867,5321424,10742291
63,1963,5522290,5428089,10950379
64,1964,5628315,5538387,11166702
65,1965,5738351,5649314,11387665
66,1966,5841588,5757910,11599498
67,1967,5939321,5859757,11799078
68,1968,6043235,5965400,12008635
69,1969,6170191,6092823,12263014
70,1970,6291977,6215372,12507349
71,1971,6567936,6499329,13067265
72,1972,6685153,6618511,13303664
73,1973,6782848,6721690,13504538
74,1974,6889668,6832903,13722571
75,1975,6969181,6923814,13892995
76,1976,7032034,7001049,14033083
77,1977,7104702,7087532,14192234
78,1978,7181293,7177962,14359255
79,1979,7253762,7261967,14515729
80,1980,7338060,7357296,14695356
81,1981,7448267,7474993,14923260
82,1982,7580914,7603333,15184247
83,1983,7686346,7707126,15393472
84,1984,7778212,7801179,15579391
85,1985,7882728,7905584,15788312
86,1986,8000187,8018163,16018350
87,1987,8118255,8145619,16263874
88,1988,8248945,8283219,16532164
89,1989,8387589,8426827,16814416
90,1990,8511269,8553859,17065128
91,1991,8615409,8668627,17284036
92,1992,8708256,8770379,17478635
93,1993,8781980,8852828,17634808
94,1994,8863677,8941791,17805468
95,1995,8960430,9044452,18004882
96,1996,9065324,9159443,18224767
97,1997,9156177,9266860,18423037
98,1998,9243143,9364441,18607584
99,1999,9340109,9472155,18812264
100,2000,9443465,9585337,19028802
101,2001,9561826,9712875,19274701
102,2002,9675483,9819727,19495210
103,2003,9787597,9933140,19720737
104,2004,9895951,10036771,19932722
105,2005,10019633,10157211,20176844
106,2006,10159424,10291542,20450966
107,2007,10353636,10473986,20827622
108,2008,10572045,10677154,21249199
109,2009,10800797,10890856,21691653
110,2010,10967831,11063919,22031750
111,2011,11118234,11221790,22340024
112,2012,11312979,11420486,22733465
113,2013,11506165,11621964,23128129
114,2014,11667886,11807800,23475686
115,2015,11827652,11988343,23815995
116,2016,12003039,12187868,24190907